"Team", "M", "W", "D", "L", "G", "GA", "PTS", "xG", "NPxG", "xGA", "NPxGA", "NPxGD", "PPDA", "OPPDA", "DC", "ODC", "xPTS"
 "Atalanta", 38, 11, 12, 15, 41, 47, 45, 46.08, 39.85, 51.41, 44.56, -4.71, 8.02, 7.93, 176, 223, 49.42
 "Bologna", 38, 11, 9, 18, 33, 45, 42, 35.48, 33.19, 51.84, 44.99, -11.8, 10.27, 8.5, 177, 191, 41.54
 "Sampdoria", 38, 10, 10, 18, 48, 61, 40, 40.53, 38.24, 66.19, 58.58, -20.34, 9.26, 8.53, 180, 264, 36.56
 "Udinese", 38, 10, 9, 19, 35, 60, 39, 46.31, 43.14, 51.42, 45.33, -2.19, 10.63, 7.52, 165, 242, 48.73
 "Palermo", 38, 10, 9, 19, 38, 65, 39, 36.55, 35.79, 61.84, 57.28, -21.49, 10.96, 6.29, 153, 287, 35.26
 "Carpi", 38, 9, 11, 18, 37, 57, 38, 43.37, 36.37, 51.8, 46.47, -10.1, 9.96, 5.88, 151, 237, 45.19
 "Frosinone", 38, 8, 7, 23, 35, 76, 31, 33.84, 31.56, 74.23, 67.35, -35.79, 8.57, 5.61, 131, 312, 29.38
 "Verona", 38, 5, 13, 20, 34, 63, 28, 40.17, 34.71, 61.71, 57.14, -22.43, 10.41, 7.55, 179, 266, 38.87
 "Juventus", 38, 26, 9, 3, 72, 24, 87, 59.08, 52.23, 29.13, 25.22, 27.01, 7.94, 11.25, 334, 152, 74.79
 "Roma", 38, 19, 13, 6, 54, 31, 70, 50.85, 45.52, 36.79, 32.98, 12.54, 7.55, 12.82, 266, 175, 62.16
 "Lazio", 38, 21, 6, 11, 71, 38, 69, 62.0, 58.19, 35.87, 31.3, 26.89, 6.77, 9.93, 214, 173, 67.79
 "Fiorentina", 38, 18, 10, 10, 61, 46, 64, 60.67, 55.31, 48.5, 46.22, 9.09, 7.4, 11.28, 309, 170, 61.11
 "Napoli", 38, 18, 9, 11, 70, 54, 63, 64.5, 57.54, 34.37, 32.85, 24.69, 8.46, 12.16, 281, 137, 70.72
 "Genoa", 38, 16, 11, 11, 62, 47, 59, 57.32, 51.99, 60.37, 54.16, -2.16, 7.68, 7.03, 250, 199, 50.55
 "Sampdoria", 38, 13, 17, 8, 48, 42, 56, 47.59, 46.06, 48.37, 43.04, 3.02, 8.1, 7.89, 209, 246, 52.85
 "Inter", 38, 14, 13, 11, 59, 48, 55, 57.17, 51.84, 44.32, 39.73, 12.11, 6.18, 12.18, 297, 171, 60.8
 "Torino", 38, 14, 12, 12, 48, 45, 54, 51.78, 47.08, 42.69, 36.57, 10.51, 12.83, 9.13, 223, 217, 56.95
 "AC Milan", 38, 13, 13, 12, 56, 50, 52, 47.07, 38.7, 53.99, 49.42, -10.72, 9.47, 9.35, 164, 263, 48.33
