Player;Yearly Salary;Age;Position;Nationality
Edoardo Vergani;45240;20;ST;Italy
Antonio Russo;37440;21;GK;Italy
Francesco Pezzo;29120;20;DM;Italy
Kalidou Koulibaly;9516000;30;D C;Senegal
Lorenzo Insigne;7280000;30;AM L ST;Italy
Dries Mertens;7124000;34;AM RLC F C;Belgium
Kostas Manolas;6344000;30;D C;Greece
Victor Osimhen;5824000;22;ST;Nigeria
Hirving Lozano;5824000;25;AM RL ST;Mexico
Piotr Zielinski;5512000;27;AM LC;Poland
Diego Demme;4056000;29;DM;Germany
Faouzi Ghoulam;3900000;30;D/WB L;Algeria
Giovanni Di Lorenzo;3692000;27;D RC M R;Italy
Matteo Politano;3432000;27;AM RLC F C;Italy
Mário Rui;3276000;30;D/WB/M L;Portugal
Andrea Petagna;3016000;26;ST;Italy
Amir Rrahmani;2496000;27;D RLC;Kosovo
Fabián;2496000;25;DM AM C;Spain
Stanislav Lobotka;2496000;26;DM;Slovakia
André-Franck Zambo Anguissa;2444000;25;DM;Cameroon
David Ospina;2340000;32;GK;Colombia
Eljif Elmas;2028000;21;AM LC;North Macedonia
Adam Ounas;1976000;24;AM RLC F C;Algeria
Alex Meret;1716000;24;GK;Italy
Jesus;1560000;30;D LC;Brazil
Kévin Malcuit;1248000;29;D/WB/M R;France
Filippo Costa;676000;26;D/WB/M L;Italy
Alessandro Zanoli;78000;20;D RC;Italy
Davide Marfella;72800;21;GK;Italy
Coli Saco;33280;19;DM;France
Hubert Idasiak;27560;19;GK;Poland
Davide Costanzo;24440;19;D C;Italy
Jonathan Spedalieri;22360;19;D C;Italy
Marko Arnautovic;3432000;32;ST;Austria
Nicola Sansone;2496000;29;AM L, ST;Italy
Roberto Soriano;2444000;30;AM C;Italy
Gary Medel;1976000;33;D C, DM;Chile
Federico Santander;1664000;30;ST;Paraguay
Riccardo Orsolini;1612000;24;AM R;Italy
Diego Falcinelli;1508000;30;ST;Italy
Lukasz Skorupski;1404000;30;GK;Poland
Lorenzo De Silvestri;1404000;33;D/WB/M R;Italy
Andreas Skov Olsen;1404000;21;AM R;Denmark
Ibrahima Mbaye;1248000;26;D/WB/M R;Senegal
Mitchell Dijks;1196000;28;D/WB/M L;Holland
Adama Soumaoro;1144000;29;D C;France
Kevin Bonifazi;936000;25;D C;Italy
Nicolás Domínguez;884000;23;DM;Argentina
Francesco Bardi;884000;29;GK;Italy
Aaron Hickey;832000;19;D/WB RL;Scotland
Musa Barrow;728000;22;AM L, ST;The Gambia
Mattias Svanberg;728000;22;DM;Sweden
Jerdy Schouten;676000;24;DM;Holland
Emanuel Vignato;483600;20;AM RLC;Italy
Gabriele Corbo;478400;21;D C;Italy
Sydney van Hooijdonk;416000;21;AM L, ST;Holland
Michael Kingsley;254800;21;DM;Nigeria
Luis Binks;156000;19;D C;England
Arthur Theate;130000;21;D LC;Belgium
Gianmarco Cangiano;114400;19;AM RL;Italy
David Wieser;47320;19;DM;Italy
Marco Molla;46800;19;GK;Albania
Mattia Pagliuca;37440;19;AM RLC, F C;Italy
Alexis Sánchez;9100000;32;AM RL, ST;Chile
Edin Dzeko;7904000;35;ST;Bosnia & Herzegovina
Hakan Calhanoglu;7488000;27;AM LC;Turkey
Ivan Perisic;6500000;32;WB L, AM L, ST;Croatia
Alessandro Bastoni;6344000;22;D C;Italy
Stefan de Vrij;6032000;29;D C;Holland
Marcelo Brozovic;5512000;28;DM;Croatia
Samir Handanovic;4940000;36;GK;Slovenia
Aleksandar Kolarov;4888000;35;D LC;Serbia
Milan Skriniar;4680000;26;D C;Slovakia
Arturo Vidal;4472000;34;DM, AM C;Chile
Lautaro Martínez;3952000;23;ST;Argentina
Joaquín Correa;3952000;26;AM RLC, F C;Argentina
Matías Vecino;3900000;29;DM, AM C;Uruguay
Nicolò Barella;3900000;24;AM C;Italy
Denzel Dumfries;3328000;25;D/WB/M R;Holland
Danilo D'Ambrosio;3276000;32;D RC, M R;Italy
Stefano Sensi;3068000;25;DM, AM C;Italy
Andrea Ranocchia;3016000;33;D C;Italy
Matteo Darmian;2548000;31;D RLC, M RL;Italy
Roberto Gagliardini;2288000;27;DM;Italy
Ionut Radu;1612000;24;GK;Romania
Federico Dimarco;884000;23;D LC, M L;Italy
Martín Satriano;468000;20;ST;Uruguay
Alex Cordaz;442000;38;GK;Italy
Facundo Colidio;327600;21;ST;Argentina
Gabriel Brazão;166400;20;GK;Brazil
Mattia Sangalli;39520;19;DM;Italy
Cesare Casadei;34840;18;DM, AM C;Italy
Felipe Caicedo;3588000;32;ST;Ecuador
Salvatore Sirigu;3068000;34;GK;Italy
Nikola Maksimovic;2340000;29;D RC;Serbia
Milan Badelj;2184000;32;DM;Croatia
Domenico Criscito;2028000;34;D LC;Italy
Mohamed Fares;1872000;25;D/WB/AM L;Algeria
Stefano Sturaro;1820000;28;DM;Italy
Zinho Vanheusden;1768000;21;D C;Belgium
Hernani;1612000;27;DM;Brazil
Nicolò Rovella;1508000;19;DM;Italy
Caleb Ekuban;1404000;27;AM RC, F C;Ghana
Andrea Masiello;1248000;35;D C;Italy
Davide Biraschi;1196000;27;D RC;Italy
Abdoulaye Touré;1196000;27;DM;France
Francesco Cassata;1040000;23;DM, M LC;Italy
Ivan Radovanovic;988000;32;D C, DM;Serbia
Paolo Ghiglione;884000;24;D/WB/M R;Italy
Goran Pandev;832000;37;AM RC, F C;North Macedonia
Mattia Destro;832000;30;ST;Italy
Adrian semper;728000;23;GK;Croatia
Mattia Bani;728000;27;D C;Italy
Federico Marchetti;728000;38;GK;Italy
Valon Behrami;624000;36;DM;Switzerland
Pablo Galdames;624000;24;DM;Chile
Johan Felipe Vásquez;473200;22;D C;Mexico
Yayah Kallon;431600;20;AM RL, ST;Sierra Leone
Stefano Sabelli;395200;28;D/WB/M R;Italy
Aleksander Buksa;390000;18;ST;Poland
Manolo Portanova;358800;21;AM C;Italy
Rok Vodisek;296400;22;GK;Slovenia
Giovanni Simeone;2444000;25;ST;Argentina
Nikola Kalinic;1872000;33;ST;Croatia
Mert Cetin;1248000;24;D C;Turkey
Gianluca Frabotta;1144000;22;D/WB L;Italy
Kevin Lasagna;1092000;28;ST;Italy
