Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Bologna,37,50.9,38.0,22952,2934,7788,10696,5924,868,21155,374,648,57.7,410,19,14216,78654,41287,1552,506,166,439,435,17599,14811,84.2,1340
Cagliari,32,44.6,38.0,21080,2587,7322,9905,5277,773,19234,342,554,61.7,365,20,12760,71464,39423,1415,508,101,417,421,16042,13161,82.0,1108
Crotone,31,46.4,38.0,21409,3149,8546,9861,4283,648,19661,358,605,59.2,383,22,13304,68865,36658,1248,389,104,498,447,16272,13666,84.0,1109
Fiorentina,30,46.2,38.0,21197,2300,6428,10437,5657,737,19347,321,541,59.3,342,22,13554,72472,38371,1507,474,119,420,536,16122,13589,84.3,1156
Genoa,34,44.7,38.0,22140,2851,8120,10620,4603,618,20406,276,522,52.9,292,20,13617,65965,34845,1279,391,103,483,384,16889,14015,83.0,1010
Hellas Verona,32,49.8,38.0,22053,2381,6880,10789,5670,829,20228,315,524,60.1,347,24,13052,68876,37238,1454,498,130,448,412,16539,13339,80.7,1321
Inter,25,52.4,38.0,25449,2673,8240,11969,6860,1122,23883,261,446,58.5,279,18,17109,88968,49936,1926,544,193,460,353,20894,18514,88.6,1557
Juventus,30,57.1,38.0,27094,2816,8480,13443,6945,1189,25535,412,629,65.5,428,27,18577,98436,53812,2085,625,263,425,418,22414,19971,89.1,1575
Lazio,30,53.1,38.0,24943,2784,8266,11852,6576,988,23350,317,546,58.1,349,22,16236,94929,52733,1904,622,146,476,408,19826,17098,86.2,1490
Milan,29,51.9,38.0,23883,2621,7876,11304,6269,1030,22240,430,666,64.6,450,19,15342,85592,47450,1748,553,176,469,381,18711,16046,85.8,1343
Napoli,25,55.2,38.0,26110,2488,7995,12846,6955,1089,24357,360,589,61.1,380,36,17699,92736,50918,2107,579,246,375,341,21413,18947,88.5,1439
